date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-09-14,22.0,21.13,22.08,20.9,72820000.0,3183.9,8458.9,1465.77,5915.55,9159.39,18464.27,864.7,20629.78,2123.85,99.0,191.97,14.51,78.85,261.27,355.18,31.21,0.2240244746208191
2012-09-17,21.52,22.67,22.75,21.5,50670000.0,3178.7,8409.0,1461.19,5893.52,,18542.31,858.9,20658.11,2078.5,96.62,191.64,14.59,79.01,258.0,355.33,31.21,0.16876083612442014
2012-09-18,21.87,21.6,21.98,21.37,36760000.0,3177.8,8387.4,1459.32,5868.16,9123.77,18496.01,856.93,20601.93,2059.54,95.29,193.17,14.18,79.25,258.75,359.49,31.18,0.2095560282468796
2012-09-19,23.29,21.99,23.37,21.77,78780000.0,3182.6,8400.5,1461.05,5888.48,9232.21,,856.08,20841.91,2067.83,91.98,194.87,13.88,79.06,261.68,364.1,31.05,0.9234653115272522
2012-09-20,22.59,23.02,23.24,22.54,57250000.0,3176.0,8372.9,1460.26,5854.64,9086.98,18349.25,851.51,20590.92,2024.84,91.87,193.5,14.07,79.41,260.81,364.41,31.45,0.5788653492927551
2012-09-21,22.86,22.97,23.24,22.6,51220000.0,3180.0,8377.5,1460.15,5852.62,9110.0,18752.83,855.51,20734.94,2026.69,92.89,195.2,13.98,79.33,257.47,367.35,31.19,0.10203567147254944
2012-09-24,20.79,21.78,21.98,20.36,79110000.0,3160.8,8356.6,1456.89,5838.84,9069.29,18673.34,851.76,20694.7,2033.19,91.93,189.07,14.15,79.52,254.81,375.05,30.78,-0.1725264847278595
2012-09-25,20.28,21.2,21.21,20.22,46290000.0,3117.7,8274.8,1441.59,5859.71,9091.54,18694.41,839.12,20698.68,2029.29,91.37,185.92,15.43,79.55,252.46,374.94,30.39,
2012-09-26,20.62,20.14,20.78,19.8,38270000.0,3093.7,8221.3,1433.32,5768.09,8906.7,18632.17,833.93,20527.73,2004.17,89.98,186.56,16.81,79.89,249.67,377.1,30.16,-0.5335935950279236
2012-09-27,20.32,20.99,21.0,20.16,30220000.0,3136.6,8303.7,1447.15,5779.42,8949.87,18579.5,843.54,20762.29,2056.32,91.85,192.18,14.84,79.55,256.59,378.62,30.16,-0.4504583366215229
2012-09-28,21.66,20.57,21.95,20.5,65489999.99999999,3116.2,8251.0,1440.67,5742.07,8870.16,18762.74,837.45,20840.38,2086.17,92.19,191.0,15.73,79.94,254.32,377.62,29.76,0.8870049715042114
2012-10-01,21.99,22.08,22.59,21.73,51260000.0,3113.5,8284.4,1444.49,5820.45,8796.51,18823.91,840.31,,,92.48,192.1,16.32,79.82,252.01,381.26,29.49,0.4081173315644264
2012-10-02,22.27,22.08,22.49,21.82,29340000.0,3120.0,8295.1,1445.75,5809.45,8786.05,,840.51,,,91.89,190.81,15.71,79.74,250.6,378.86,29.66,
2012-10-03,21.83,22.3,22.49,21.8,32000000.0,3135.2,8297.5,1450.99,5825.81,8746.87,18869.69,838.78,20888.28,,88.14,188.02,15.43,79.97,255.92,381.62,29.86,-0.3142533004283905
2012-10-04,21.95,22.32,22.4,21.41,46890000.0,3149.5,8376.3,1461.4,5827.78,8824.59,19058.15,844.65,20907.95,,91.71,193.5,14.55,79.35,260.47,384.4,30.03,0.33752335980534554
2012-10-05,20.91,21.49,21.63,20.88,40530000.0,3136.2,8384.1,1460.93,5871.02,8863.3,18938.46,842.86,21012.38,,89.88,191.53,14.33,79.34,258.51,384.2,29.85,-0.4618383000294368
2012-10-08,20.4,20.4,20.75,20.16,32240000.000000004,3112.4,8359.1,1455.88,5841.74,,18708.98,838.41,20824.56,2074.42,89.33,190.08,15.11,79.54,259.06,379.29,29.78,-0.10482550660769144
